# sector	dates			    JD1		     JD2
1 25/07/2018-23/08/2018       2458325.31       2458353.64
2 23/08/2018-20/09/2018       2458353.64       2458382.12
3 20/09/2018-18/10/2018       2458382.12       2458410.14
4 18/10/2018-15/11/2018       2458410.14       2458437.42
5 15/11/2018-11/12/2018       2458437.42       2458464.75
6 11/12/2018-07/01/2019       2458464.75       2458490.84
7 07/01/2019-02/02/2019       2458490.84       2458516.72
8 02/02/2019-28/02/2019       2458516.72       2458542.62
9 28/02/2019-26/03/2019       2458542.62       2458568.96
10 26/03/2019-22/04/2019       2458568.96       2458596.23
11 22/04/2019-21/05/2019       2458596.23       2458624.43
12 21/05/2019-19/06/2019       2458624.43       2458653.41
13 19/06/2019-18/07/2019       2458653.41       2458682.86
14 18/07/2019-15/08/2019       2458682.86       2458710.79
15 15/08/2019-11/09/2019       2458710.79       2458738.04
16 11/09/2019-07/10/2019       2458738.04       2458764.01
17 07/10/2019-02/11/2019       2458764.01       2458790.18
18 02/11/2019-27/11/2019       2458790.18       2458815.56
19 27/11/2019-24/12/2019       2458815.56       2458841.83
20 24/12/2019-21/01/2020       2458841.83       2458869.63
21 21/01/2020-18/02/2020       2458869.63       2458898.55
22 18/02/2020-18/03/2020       2458898.55       2458927.30
23 18/03/2020-16/04/2020       2458927.30       2458955.34
24 16/04/2020-13/05/2020       2458955.34       2458982.96
25 13/05/2020-08/06/2020       2458982.96       2459009.79
26 08/06/2020-04/07/2020       2459009.79       2459035.71
27 04/07/2020-30/07/2020       2459035.71       2459061.25
28 30/07/2020-26/08/2020       2459061.25       2459087.67
29 26/08/2020-22/09/2020       2459087.67       2459115.16
30 22/09/2020-21/10/2020       2459115.16       2459143.87
31 21/10/2020-19/11/2020       2459143.87       2459172.55
32 19/11/2020-17/12/2020       2459172.55       2459200.99
33 17/12/2020-13/01/2021       2459200.99       2459228.17
34 13/01/2021-09/02/2021       2459228.17       2459254.53
35 09/02/2021-07/03/2021       2459254.53       2459280.45
36 07/03/2021-02/04/2021       2459280.45       2459306.62
37 02/04/2021-28/04/2021       2459306.62       2459333.22
38 28/04/2021-26/05/2021       2459333.22       2459361.17
39 26/05/2021-24/06/2021       2459361.17       2459390.19
40 24/06/2021-23/07/2021       2459390.19       2459419.43
41 23/07/2021-20/08/2021       2459419.43       2459447.14
42 20/08/2021-15/09/2021       2459447.14       2459473.17
43 16/09/2021-11/10/2021       2459474.67       2459499.39
44 12/10/2021-05/11/2021       2459500.69       2459524.94
45 07/11/2021-02/12/2021       2459526.01       2459551.12
46 03/12/2021-30/12/2021       2459552.06       2459579.20
47 31/12/2021-27/01/2022       2459580.30       2459607.44
48 28/01/2022-25/02/2022       2459608.43       2459636.49
49 26/02/2022-25/03/2022       2459637.97       2459664.81
50 26/03/2022-22/04/2022       2459665.77       2459692.01
51 23/04/2022-18/05/2022       2459693.44       2459718.03
52 19/05/2022-12/06/2022       2459719.13       2459743.58
53 13/06/2022-08/07/2022       2459744.49       2459769.48
54 09/07/2022-04/08/2022       2459770.39       2459796.62
55 05/08/2022-01/09/2022       2459797.60       2459824.76
